순위,제목,가수,가사,장르,발매일,Month
36,사이렌 (Siren),선미,내가 말했잖아 속지 말라고 이 손을 잡는 순간 너는 위험해질 거라고 Now you’re bleeding 근데도 끌리니 뻔히 다 알면서도 왜 그리 빤히 쳐다보니 놔 그냥 조금도 망설이지 말고 놔 그냥 너를 아프게 할 거란 걸 알잖아 네 환상에 아름다운 나는 없어 Can’t you see that boy Get away out of my face 더 다가오지 마 boy 슬퍼해도 난 울지 않아 Get away out of my face 더 바라보지 마 boy 슬퍼해도 난 울지 않아 라랄라라라 라랄라라라 라랄라라라 라랄라라라 차가운 나를 보는 너의 눈빛 우릴 비추던 달빛 이제는 저물어 간다고 보이지 않니 날 놓지 못하는 손 조금씩 붉어져가잖아 놔 그냥 조금도 망설이지 말고 놔 그냥 너를 아프게 할 거란 걸 알잖아 네 환상에 아름다운 나는 없어 Can’t you see that boy Get away out of my face 더 다가오지 마 boy 슬퍼해도 난 울지 않아 Get away out of my face 더 바라보지 마 boy 슬퍼해도 난 울지 않아 라랄라라라 라랄라라라 라랄라라라 라랄라라라 Can’t you see that boy What Can’t you see that boy I ain’t cry no more Get away out of my face 더 다가오지 마 boy 슬퍼해도 난 울지 않아 Get away out of my face 더 바라보지 마 boy 슬퍼해도 난 울지 않아 라랄라라라 라랄라라라 라랄라라라 라랄라라라,댄스,2018.09.04,201812
37,미안해,양다일,습관처럼 떠오르던 눈에 아른거리던 네 모습이 더는 그려지지 않아 거짓뿐이었던 너의 말과 너도 모르는 너의 모습들을 더는 원치 않아 단 한 번뿐인 이별에도 말하지 못한 너의 진심을 이젠 다 알 것 같은데 미안해 더는 널 바라보지 않아 미안해 더는 나 후회하지 않아 다시 널 마주할 그 순간에도 널 사랑하지 않아 말할 수 있어 수화기 너머 들리는 지친 날 위로하던 네 목소리 더는 그려지지 않아 함께 쌓았던 추억과 그 많던 말들이 아쉬워서 전하지 못한 말들이 미안해 더는 널 바라보지 않아 미안해 더는 나 후회하지 않아 다시 널 마주할 그 순간에도 널 사랑하지 않아 말할 수 있어 어색하게 만난 우리 시작도 처음 고백했던 그 순간들도 다 어제 같은 일인데 누굴 만나 사랑한다는 게 너를 만나 내가 변해간단 게 이젠 없어 미안해 더는 널 사랑하지 않아 미안해 더는 나 후회하지 않아 힘든 시간들에 지쳐갈 때도 이렇게 해야만 내가 편할 것 같아,R&B/Soul,2017.12.29,201812
38,밤편지,아이유,이 밤 그날의 반딧불을 당신의 창 가까이 보낼게요 음 사랑한다는 말이에요 나 우리의 첫 입맞춤을 떠올려 그럼 언제든 눈을 감고 음 가장 먼 곳으로 가요 난 파도가 머물던 모래 위에 적힌 글씨처럼 그대가 멀리 사라져 버릴 것 같아 늘 그리워 그리워 여기 내 마음속에 모든 말을 다 꺼내어 줄 순 없지만 사랑한다는 말이에요 어떻게 나에게 그대란 행운이 온 걸까 지금 우리 함께 있다면 아 얼마나 좋을까요 난 파도가 머물던 모래 위에 적힌 글씨처럼 그대가 멀리 사라져 버릴 것 같아 또 그리워 더 그리워 나의 일기장 안에 모든 말을 다 꺼내어 줄 순 없지만 사랑한다는 말 이 밤 그날의 반딧불을 당신의 창 가까이 띄울게요 음 좋은 꿈 이길 바라요,발라드,2017.03.24,201812
39,비,폴킴,비가 내리다 말다 우산을 챙길까 말까 tv엔 맑음이라던데 네 마음도 헷갈리나봐 비가 또 내리다 말다 하늘도 우울한가봐 비가 그치고나면 이번엔 내가 울것만같아 Strumming down to my memories 지직거리는 라디오에선 또 뻔한 love song 잊고있던 아픈 설레임 널 생각나게해 우리 걷던 이길위에 흘러나오던 멜로디 흥얼거렸었지 넌 어디있니 하늘은 이렇게 맑은데 비에 젖은 내 마음을 따뜻하게도 비춰주던 너는 나에게 햇살같아 그런널 왜 난 보냈을까 Good bye So hard to lose but easy to repeat 푹 숙인 얼굴 날 알아봤을까 I'm losing my breathe 잊고 싶던 아픈 기억들 날 더 힘들게해 시간가는 줄도 모르고 나눴던 수많은 밤과 사랑노래 꿈보다 달콤했지 쉽게 포기한건아닌지 우연히널 마주친 순간 내 마음 들킬까봐 뒤돌아섰어 널 잡았다면 그런 널 왜 난 보냈을까 우리 걷던 이길위에 흘러나오던 멜로디 흥얼거렸었지 넌 어디있니 하늘은 이렇게 맑은데 비에 젖은 내 마음을 따뜻하게도 비춰주던 너는 나에게 햇살같아 그런널 왜 난 보냈을까 Good bye,R&B/Soul,2016.06.21,201812
40,꿈처럼 내린,다비치,아련해진 어제 하루가 다시 떠오르는 그대 빛에 가까이 다가오죠 이젠 돌아올 수 없는 소중했던 시간처럼 여전히 내게 머물러 외로움이 길었던 날들 살며시 그대 숨결 불어오죠 한 걸음 다가온 그대란 운명에 애써 감춰두며 꺼내지 못한 말 늘 곁에 있어 줘요 그댄 내게 따스한 어제의 꿈처럼 내린 사랑이죠 허전함이 가득했던 길 그대와 함께라서 행복해요 한 걸음 다가온 그대란 운명에 애써 감춰두며 꺼내지 못한 말 늘 곁에 있어줘요 그댄 내게 따스한 어제의 꿈처럼 내린 사랑이죠 이젠 숨길 수 없는 내 맘을 나를 가득 채워준 사랑을 그대 드릴게요 한걸음 다가온 그대란 운명에 하나뿐인 사랑 그댈 사랑해요 눈을 감아도 네가 보이는걸 늘 곁에 있어 줘요 그댄 나의 꿈같은 어제와 오늘 그리고 내 전부죠 지울 수 없는 그대이죠,"발라드, 국내드라마",2018.10.16,201812
41,가을 안부,먼데이 키즈 (Monday Kiz),어떠니 잘 지냈니 지난 여름 유난히도 힘에 겹더라 올핸 새벽녘엔 제법 쌀쌀한 바람이 어느덧 니가 좋아하던 그 가을이 와 사랑도 그러게 별수없나 봐 언제 그랬냐는 듯 계절처럼 변해가 그리워져 미치도록 사랑한 그날들이 내 잃어버린 날들이 참 많이 웃고 울었던 그때 그 시절의 우리 니가 떠올라 밤새 참 아프다 니가 너무 아프다 너를 닮은 이 시린 가을이 오면 보고 싶어서 너를 안고 싶어서 가슴이 너를 앓는다 어떠니 넌 괜찮니 지금쯤은 나를 잊고 편안해졌니 이젠 우습지 잘살길 바라면서도 막상 날 잊었을 널 떠올리면 서글퍼 그리워져 미치도록 사랑한 그날들이 내 잃어버린 날들이 참 많이 웃고 울었던 그때 그 시절의 우리 니가 떠올라 밤새 참 아프다 니가 너무 아프다 너를 닮은 이 시린 가을이 오면 보고 싶어서 너를 안고 싶어서 가슴이 너를 앓는다 너라는 계절 안에 살아 여전히 너를 꿈꾸며 고마워져 그 날들이 내 지나버린 날들이 추억은 짐이 아니라 살게 하는 힘이란 걸 가르쳐준 너니까 또 설렌다 아프도록 설렌다 너를 닮은 눈부신 가을이 오면 니가 떠올라 그리움이 차올라 눈물로 너를 앓는다 밤새 또 너를 앓는다,발라드,2017.10.14,201812
42,Dance The Night Away,TWICE (트와이스),라라라라라라라 라라라라라라라 You and me in the moonlight 별 꽃 축제 열린 밤 파도 소리를 틀고 춤을 추는 이 순간 이 느낌 정말 딱야 바다야 우리와 같이 놀아 바람아 너도 이쪽으로 와 달빛 조명 아래서 너와 나와 세상과 다 같이 Party all night long yeah it’s good If you wanna have some fun 짭짤한 공기처럼 이 순간의 특별한 행복을 놓치지마 One two three let’s go 저 우주 위로 날아갈 듯 춤추러 가 Hey Let’s dance the night away Let’s dance the night away One two three let’s go 저 바다 건너 들릴 듯 소리 질러 let’s dance the night away Dance the night away Let’s dance the night away Dance the night away Let’s dance the night away You and me in this cool night 미소 짓는 반쪽 달 그 언젠가 너와 나 저 달 뒷면으로 가 파티를 열기로 약속 yeah it’s good If you wanna have some fun 은빛 모래알처럼 이 순간의 특별한 행복을 놓치지 마 One two three let’s go 저 우주 위로 날아갈 듯 춤추러 가 Hey Let’s dance the night away Let’s dance the night away One two three let’s go 저 바다 건너 들릴 듯 소리 질러 let’s dance the night away 오늘이 마지막인 듯 소리 질러 저 멀리 끝없이 날아오를 듯 힘껏 뛰어 더 높이 오늘이 마지막인 듯 소리 질러 저 멀리 쏟아지는 별빛과 Let’s dance the night away Let’s dance the night away One two three let’s go 저 바다 건너 들릴 듯 소리 질러 let’s dance the night away Let’s dance the night away Dance the night away Dance the night away Dance the night away Let’s dance the night away,댄스,2018.07.09,201812
43,Gravity,EXO,Yeah woo uh woo uh nananana dadadada 영원히 날 사랑한다 그리 말하던 너야 내게 말했던 너야 그 말이 날 맴도는데 너를 어떻게 놓아 놓아 널 baby 아닌 걸 알지만 끝인 걸 알지만 자꾸만 난 아직도 널 아직 떠나려고 해도 꼭 같은 힘으로 난 널 붙잡고 있어 네 미래라 내게 그러더니 과거가 되었니 오직 나만 사랑한다더니 네 마음은 영원히 내 곁에만 머문다 그러더니 내 전부를 걸었어 그랬더니 날 떠나버렸니 아직도 난 널 기다리잖니 내 마음은 여전히 널 끌어당겨 gravity 네 말투 문장 단어들 하나하나 기억 다 하는 나야 그날의 네가 날 맴도는데 너를 어떻게 놓아 놓아 널 baby Believe란 단어 속 숨겨져 있던 lie 그걸 못 봐 아직도 난 아직 너의 거짓말이 또 거짓일 거라고 날 속이고 있어 네 미래라 내게 그러더니 과거가 되었니 오직 나만 사랑한다더니 네 마음은 영원히 내 곁에만 머문다 그러더니 내 전부를 걸었어 그랬더니 날 떠나버렸니 아직도 난 널 기다리잖니 내 마음은 여전히 널 끌어당겨 gravity 내가 걸었던 너란 배팅은 결국 fail 혼자서 독주하던 raise Honey look at me now 또 대답 없는 메아리만 돌아와 계속 맴돌기만 해 망가져가는 나를 또 뒤로한 채 네가 없는 이 우주를 떠돌까 두려워 널 위한다면 뭐든 움직일 힘이 있어 잘 알잖아 근데 네 마음만큼은 내 맘대로 안돼 아직 나를 끌어당기는 너의 무게는 계속 날 집어삼켜 갈수록 더 늘어가는 상처 이젠 추억도 자취를 감춰 머릿속에 번진 너의 모습들은 거짓 대체 뭘 믿어야 되는 건지 확신이 안 서 다시 또 너의 뒷모습에 소리쳐 맴돌고 있어 네 미래라 내게 그러더니 과거가 되었니 오직 나만 사랑한다더니 네 마음은 영원히 내 곁에만 머문다 그러더니 내 전부를 걸었어 그랬더니 날 떠나버렸니 아직도 난 널 기다리잖니 내 마음을 알잖니 난 널 믿었어 그랬더니,댄스,2018.11.02,201812
44,너는 어땠을까,노을,언제부터인지 습관처럼 연락하고 마주한 시간이 더는 설레질 않아 하루 종일 반복되는 다툼까지도 사소하게 쌓인 오해마저 어떤 말로 풀어야 하는지 익숙한 탓인지 조금은 지겹기도 해 혼자인 시간이 가끔은 그립기도 해 하루 종일 궁금하던 너의 안부도 더는 쉽게 물어볼 수 없는 그런 감정에 하루를 살아 넌 어떻게 지내는 건지 혹시 나와 같은 지 바쁜 일상 속에 내 생각 같은 건 하지 않는지 날 만나 사랑했던 걸 후회하진 않는지 끝이라는 게 생각보다 쉬운 일인 건 아닌지 쉬울 줄 알았어 널 마주하기 전에는 마음과는 달랐어 왜 이렇게 아픈 건지 생각보다 너무 쉽게 잊혀질 걸 알면서 왜 함께한 날들이 떠오르는지 넌 어떻게 지내는 건지 혹시 나와 같은 지 바쁜 일상 속에 내 생각 같은 건 하지 않는지 날 만나 사랑했던 걸 후회하진 않는지 끝이라는 게 생각보다 쉬운 일인 건 아닌지 사실 잠시뿐인 걸 알고는 있지만 어떤 말로 우리를 끝내 보내야 하는지 널 다시 만날 수 있을까 함께 나눈 그 많은 말들과 온기가 거짓말처럼 지워질까 어떤 말도 할 수 없는 마지막을 건네는 너의 표정이 돌아선 지금도 지워지지를 않아 그때의 너는 어떤 마음이었을까,발라드,2018.11.05,201812
45,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,하얀 눈이 내려올 때면 온 세상이 물들을 때면 눈꽃이 피어나 또 빛이 나 눈이 부신 너처럼 Yeah girl you should know that That my heartbeats like Huh Huh Huh Huh From the bottom of my heart I thank god I found you 쿵쿵 가슴이 왜 이렇게 가쁘니 yeah 꾹꾹 참아도 자꾸 네 생각이 나잖아 oh You You I love you and I know you love me too 네가 내게 불러 준 You're my boo You 아직 꿈만 같아 And you 마치 선물 같아 For you 네 품에 안겨도 늘 불안불안 해 꿈처럼 깰까 봐 You 꼭 안아 줘야만 해 And you 아껴 줘야만 해 For you 큰 맘 먹고 네 꺼 돼준 걸 하늘에게 감사해 하얀 눈이 내려올 때면 온 세상이 물들을 때면 눈꽃이 피어나 또 빛이 나 눈이 부신 너처럼 사랑할 수 밖에 없어서 사랑한 네 손 잡고서 첫 눈 위를 걸어 발자국을 새겨 이 길 끝까지 걸어 갈 거야 With you You 혹시 알고 있니 And you 느낄 수가 있니 For you 늘 자랑하고픈 네 여자친구가 되고만 싶은 걸 You 전부 다 주고 싶어 And you 잘 해주고 싶어 For you 다음 그 다음 해 겨울도 너의 곁에 있을게 하얀 눈이 내려올 때면 온 세상이 물들을 때면 눈꽃이 피어나 또 빛이 나 눈이 부신 너처럼 사랑할 수 밖에 없어서 사랑한 네 손 잡고서 첫 눈 위를 걸어 발자국을 새겨 이 길 끝까지 걸어 갈 거야 With you 매일 매일 너 때문에 행복해 다른 누구 아닌 나를 모두 가질 너만이 My love 나도 믿기지 않아 지금 네가 내 옆에 이렇게 손 꼭 잡은 채 걷는다는 게 하얀 눈보다 더 뽀얀 네 볼에 키스해줄게 Baby 빨갛게 물들게 Baby 다가오는 크리스마스에는 기다리는 그 날만큼은 네 곁에 있을래 하루 종일 미리 미리 약속해 사랑할 수 밖에 없어서 사랑한 네 손 잡고서 첫 눈 위를 걸어 발자국을 새겨 이 길 끝까지 걸어 갈 거야 With you Girl you know I can't even think without you in my life Yeah Yeah I know that you know That's my baby,댄스,2010.12.09,201812
46,너 없인 안 된다,비투비,난 지금 네게 가고 있는 길이야 봄의 끝보다 훨씬 빠르게 할 말이 있는 걸 말하지 않으면 평생을 후회하며 살 것 같아 아마도 살 것 같아 너랑 숨 쉬면 정신 못 차리겠어 눈이 감기고 I just want you to know I’m the real one that you’re looking for 걱정은 불안함 안에 가둬 건너편에 다 놔두고 이제부터 우리 사진 주워 담아 네 손아귀 안에 아기자기 걸어 둘 거야 어디든지 보이게 해줘 나 없인 안 된다 해줘 너 없인 안 된다 난 너여야 한다 아무리 생각해도 난 결국 너야 후회하긴 싫다 너를 사랑한다 Cuz u r the only one 나는 너뿐이라는 걸 Hah ah ah ah ah ah ah Let’s get it on let’s get it on Hah ah ah ah ah ah Why don’t you be my girl Hah ah ah ah ah ah ah Let’s get it on let’s get it on Cuz u r the only one for me 아직도 네게 가고 있는 길이야 여름밤 공기보다 뜨겁게 그리워했던 널 붙잡지 못하면 평생을 후회하며 살 것 같아 네가 너무 보고 싶어서 Yeah yeah yeah Girl I swear this ain’t no booty call nah nah nah 그냥 생각나서 하는 것도 아니야 Nope 드디어 정신 차렸어 너 없인 안 된다는 걸 Now I know now I know 다시 시작해 볼 생각 있으면 처음처럼 만날 생각이 있으면 Lemme know Let’s give it a go 너 없인 안 된다 난 너여야 한다 아무리 생각해도 난 결국 너야 후회하긴 싫다 너를 사랑한다 Cuz u r the only one for me 나의 여름 널 어떻게 하겠니 해를 몇 번을 넘겨도 You and me 너를 사랑해 사랑해 또 말하고 말해도 오직 너여야만 I can live 우리 뜨겁게 잡은 손 꽉 잡아 더 여름밤의 Love 꽉 안아 더 두근두근 우린 구름 구름 위 이대로 우리 둘 2 너 없인 안 된다 난 너여야 한다 아무리 생각해도 난 결국 너야 후회하긴 싫다 너를 사랑한다 Cuz u r the only one 나는 너뿐이라는 걸 Hah ah ah ah ah ah ah Let’s get it on let’s get it on Hah ah ah ah ah ah Why don’t you be my girl Hah ah ah ah ah ah ah Let’s get it on let’s get it on Cuz u r the only one for me,발라드,2018.06.18,201812
47,수퍼비와 (Feat. BewhY) (Prod. BewhY),수퍼비 (SUPERBEE),ima rap till i die 영원히 그거 하나뿐 나의 소원은 어느날 내가 죽는다면 전설로 남을까 난 여기 되고파 저 하늘의 별이 상처투성이던 내 story 이제는 맑기를 원해 내 뜻이 너에게 닿기를 원해 the rap legend ayy superbeewhy superbeewhy 우린 우성인자 가짜들의 무덤위야 shout out to C Jamm 기다려 johnny's rhyme 열 두마디 bars안에 내 flow는 tsunami야 나 여전히 saucin' 어린 멋진 부자지 young 내 다이아는 frozen 니껀 녹아 분하지 넌 ayy 노란머리 양아치 영원하게 내려 비 quamo team 우리 재산을 합침 대부업을 하겠지 빚없이 모여 빛이 재벌집 딸 폰에 ring해도 rich bee 직진 go risky psp같이 i got this game 손아귀에 있지 Quamo Gang Gang 사임 사임 sweepin' 니 여자 지문은 DM DM 우린 읽씹 우승안해도 내 prob은 아니지 여기서 진 건 재도전뿐이니 흉이 져도 아름다워 burn it 난 이미 레전더리 아이코닉 죽음 rocksta라고 난 영원해 또 그때서야 오네 내 인정은 왜 이 시대는 저열해 yo yo yo yo 오늘 내가 죽음 공휴일이요 yo yo yeah i said yo yo yo yo 오늘 내가 져도 나는 이겨 yo yo yo hol' up we'll make u dance 우리 어제도 미래 수퍼비와 our zone 영원히 비 내려 억부터 조 모든 영들은 내 빛 돼 억부터 조 모든 영들은 내 빛 돼 수퍼비와 Zone에 수퍼비와 Zone에 수퍼비와 Zone에 you can't enter my zone 수퍼비와 Zone에 수퍼비와 Zone에 수퍼비와 Zone에 you can't enter my zone 수퍼비와이가 수퍼비와이가 수퍼비와 주거니 받거니한 나의 열 두마디 bars 궁금하지 나의 친 부모님과 류성민한테 받은 too many rhymes 82 거리 안의 우두머리가 돈과 명예 두마리다 잡은 유명인사이기 전에 우리는 하나님의 피부를 가진 자랑스런 대한의 기둥 이 땅 가운데 국민이다 임마 아직도 따라가는 저기 핫바지와는 많이 달라 구분이 아니고 구별이라는걸 나를 본 넌 주검이야 Original Gimchi 우리 지폐는 ’Won’ Means 이미 이김 이지 우리 이름이 길이 길이 이 길 위 새겨 지리 이건 천국에서 내린 노래 이건 승리와 나의 삶의 romance 내 영혼에 박아져 있는 ‘romans 16 19’ 나의 팀과 외치는 광야의 고백 너의 시대를 지배할 준비가 되어가는 내 작품 살아있는 신화가 되어지는 우리들이야 너가 보는것은 DEJAVU hol' up we'll make u dance 우리 어제도 미래 수퍼비와 our zone 영원히 비 내려 억부터 조 모든 영들은 내 빛 돼 shine 억부터 조 모든 영들은 내 빛 돼 shine 수퍼비와 Zone에 pull up pull up pull up skrrr 수퍼비와 Zone에 수퍼비와 Zone에 you can't enter my zone 수퍼비와 Zone에 pull up pull up pull up skrrr 수퍼비와 Zone에 수퍼비와 Zone에 you can't enter my zone burn it 난 이미 레전더리 아이코닉 죽음 rockstar라고 난 영원해 또 그때서야 오네 내 인정에 왜 이 시대는 저열해 노래 이건 승리와 나의 삶의 romance 내 영혼에 박아져있는 romans 16 19 나의팀과 외치는 고백 hol' up we'll make u dance 우리 어제도 미래 수퍼비와 our zone 영원히 비 내려 억부터 조 모든 영들은 내 빛 돼 억부터 조 모든 영들은 내 빛 돼 수퍼비와 Zone에 수퍼비와 Zone에 수퍼비와 Zone에 you can't enter my zone 수퍼비와 Zone에 수퍼비와 Zone에 수퍼비와 Zone에 you can't enter my zone에,랩/힙합,2018.11.03,201812
48,FAKE LOVE,방탄소년단,널 위해서라면 난 슬퍼도 기쁜 척 할 수가 있었어 널 위해서라면 난 아파도 강한 척 할 수가 있었어 사랑이 사랑만으로 완벽하길 내 모든 약점들은 다 숨겨지길 이뤄지지 않는 꿈속에서 피울 수 없는 꽃을 키웠어 I'm so sick of this Fake Love Fake Love Fake Love I'm so sorry but it's Fake Love Fake Love Fake Love I wanna be a good man just for you 세상을 줬네 just for you 전부 바꿨어 just for you Now I dunno me who are you 우리만의 숲 너는 없었어 내가 왔던 route 잊어버렸어 나도 내가 누구였는지도 잘 모르게 됐어 거울에다 지껄여봐 너는 대체 누구니 널 위해서라면 난 슬퍼도 기쁜 척 할 수가 있었어 널 위해서라면 난 아파도 강한 척 할 수가 있었어 사랑이 사랑만으로 완벽하길 내 모든 약점들은 다 숨겨지길 이뤄지지 않는 꿈속에서 피울 수 없는 꽃을 키웠어 Love you so bad Love you so bad 널 위해 예쁜 거짓을 빚어내 Love it’s so mad Love it’s so mad 날 지워 너의 인형이 되려 해 Love you so bad Love you so bad 널 위해 예쁜 거짓을 빚어내 Love it’s so mad Love it’s so mad 날 지워 너의 인형이 되려 해 I'm so sick of this Fake Love Fake Love Fake Love I'm so sorry but it's Fake Love Fake Love Fake Love Why you sad I don't know 난 몰라 웃어봐 사랑해 말해봐 나를 봐 나조차도 버린 나 너조차 이해할 수 없는 나 낯설다 하네 니가 좋아하던 나로 변한 내가 아니라 하네 예전에 니가 잘 알고 있던 내가 아니긴 뭐가 아냐 난 눈 멀었어 사랑은 뭐가 사랑 It's all fake love Woo I dunno I dunno I dunno why Woo 나도 날 나도 날 모르겠어 Woo I just know I just know I just know why Cuz it’s all Fake Love Fake Love Fake Love Love you so bad Love you so bad 널 위해 예쁜 거짓을 빚어내 Love it’s so mad Love it’s so mad 날 지워 너의 인형이 되려 해 Love you so bad Love you so bad 널 위해 예쁜 거짓을 빚어내 Love it’s so mad Love it’s so mad 날 지워 너의 인형이 되려 해 I'm so sick of this Fake Love Fake Love Fake Love I'm so sorry but it's Fake Love Fake Love Fake Love 널 위해서라면 난 슬퍼도 기쁜 척 할 수가 있었어 널 위해서라면 난 아파도 강한 척 할 수가 있었어 사랑이 사랑만으로 완벽하길 내 모든 약점들은 다 숨겨지길 이뤄지지 않는 꿈속에서 피울 수 없는 꽃을 키웠어,랩/힙합,2018.05.18,201812
49,이별길 (GOODBYE ROAD),iKON,goodbye goodbye 이별을 알았다면 그토록 사랑하지 말 걸 그랬나 봐요  (check it out yo)  무덤덤해져 가는 서로의 감정 때문에 상처를 주는 것조차도 이제 무덤덤한 우리 이미 사랑은 떠났고 정밖에 남지 않았어 그냥 그런가 하고 뜨뜻미지근 해졌지 (where you at) 관심은 집착이 되어 버리고 (where you at) 의심은 거의 밥 먹듯이 해 너와 내가 쌓았던 신뢰란 성은 무너지고 넌 이제 이별길을 걸으며 새사람을 찾지  같이 울기 위해 널 만난 건 아닌데 (눈물이 난다) 상처받기 위해 쌓은 추억이 아닌데 (잊혀져 간다) 너무 쉽게 또 한 사람과 남이 돼 고작 이별하기 위해 널 사랑한 건 아닌데 (익숙해져 간다)   잘 가요 그 험한 이별길을 나를 떠나 부디 꽃길만 걸어요  조심히 가요 외로운 이별길을 가는 길에 나의 모든 기억을 버려요  (check it out)  지나간 기억 속에서 산다는 건 그 얼마나 무기력한 외로움일까 그 기억 속에서조차 잊혀진다는 건 또 어떤 순간보다 잔인한 아픔인가 죽도록 사랑했건만 끝내 나 죽지 않았네 숨을 깊게 들이마셔도 내뱉으면 한숨이 돼 누구나 하는 이별이니 우리 슬퍼 말아요 난 또 그대 닮은 듯 아닌 사람 찾아갈게요  같이 울기 위해 널 만난 건 아닌데 (눈물이 난다) 상처받기 위해 쌓은 추억이 아닌데 (잊혀져 간다) 너무 쉽게 또 한 사람과 남이 돼 고작 이별하기 위해 널 사랑한 건 아닌데 (익숙해져 간다)  잘 가요 그 험한 이별길을 나를 떠나 부디 꽃길만 걸어요  조심히 가요 외로운 이별길을 가는 길에 나의 모든 기억을 버려요  (check it out)   goodbye goodbye 이별을 알았다면 그토록 사랑하지 말 걸 그랬나 봐요   goodbye goodbye 어차피 떠난다면 어떤 미련도 남지 않게 보란 듯이 살아요  (check it out)   잘 가요 어여쁜 내 사람아 나를 떠나 행복하게만 살아요  (행복하게만 살아요)  조심히 가요 가슴 아픈 사랑아 내 곁에 있을 때처럼 아프지 말아요  (그대 아프지 말아요)  나 나나나나나나 나나나나나나 나나나나나  나나나나 나 나나나나나나 나나나나나나 나나나나나  (check it out),발라드,2018.10.01,201812
50,flex (Prod. By 기리보이),"기리보이, 키드밀리 (Kid Milli), NO:EL, 스윙스",너희 옷이 그게 뭐야 얼른 갈아입어 구찌 루이 휠라 슈프림 섞은 바보 너희 아보키 같아 답이 없다고 나랑 같이 쇼핑 가자 용돈 갖고 와 여름엔 덥게 겨울엔 춥게 여름엔 덥게 겨울엔 춥게 F.L.E.X 질투와 시샘 받으면서 우리 멋있어지자 내 욕을 하는 전국 adidas 점장 매장에 나타나서 모든 옷이 공짜 hash swan처럼 살 빼고 여자 size 핫핑크 입고 블랙핑크 back dancer minimalist plus military 감성 탈영병 ㄴ 정신병이 함정 말 조심해 너 그러다가 까여 욕 먹으면 그냥 노창처럼 사라져 they say fashion is a statement ey Victoria's Secret told me I made it ey 커피숍 알바생 차 딜러가 온다 둘 다 내게 말하지 스윙스 차 골라 JM 김 모씨 못 듣는 말은 기모찌 한 놈 구치소 토낄 준비 중인 기리 나마저 살 또 찌면 망할 거야 Gym Tipi 이제 내 새로운 꼬붕 패션충 킫밀리 너희 옷이 그게 뭐야 얼른 갈아입어 구찌 루이 휠라 슈프림 섞은 바보 너희 아보키 같아 답이 없다고 나랑 같이 쇼핑 가자 용돈 갖고 와 여름엔 덥게 겨울엔 춥게 여름엔 덥게 겨울엔 춥게 F.L.E.X 질투와 시샘 받으면서 우리 멋있어지자 white gold vvs 긴팔을 입어 해가 쨍쨍 이어도 얼음 넣어 카페인에 얼음 박은 손 때문에 감기에 걸려도 i be flexin in 딴 나라 6월부터 쭉 they call me 딴따라 앞 성공한 붙여서 shooting shooting 근데 데이트할 땐 자제해줘 shooting shooting 길거리에 내 노래 booming 이번 여름은 더 뜨겁네 작년보다 내게 돈을 써도 돈이 벌려 계속 텐진에서 도쿄 오사카 다시 텐진 대체 몇 번 탄 거냐고 비행기 귀엔 에어팟 on it playing silkybois 매일 사랑하는 너도 같이 인터넷 볼 시간 없지 이번 여름 summer gonna be alright 내 옆으로 와서 앉아 난 고삐 안 풀린 boy from the 00 니 안전 따위 안 보장 걍 두 눈 똑바로 뜬 채로 아이 코 베여도 솔까놓고 싫지 않아 1고고고고 no stop 지난여름에도 이어서 난 식지 않아 날 위로 올렸던 소리 무슨 소리 aint a 연결고리 몇 천의 구두소리 밖엔 비가 주륵 내리고 #올해는우리꺼 다시 떼 7에 반을 주고 땡겨 악셀레이터 자기야 내게 6개월만을 줘 전국구를 돌아 10억이 니 마니또 겨울에 크리스마스는 더운 섬에서 걱정하지 마 어차피 이 안엔 너만 있어 그냥 뭐 퉁 쳤어 7단위 0과 두세 번의 여름을 그딴 건 필요도 없어 다시 돌아오는 해엔 다른 오빠일지도 mm 그냥 뭐 퉁 칠 수가 없어 이 사계절이 돌아도 난 못되겠지 어른 그냥 너도 그때쯤에 가서 옆자리에 남아주는 것만으로 감사를 너희 옷이 그게 뭐야 얼른 갈아입어 구찌 루이 휠라 슈프림 섞은 바보 너희 아보키 같아 답이 없다고 나랑 같이 쇼핑 가자 용돈 갖고 와 여름엔 덥게 겨울엔 춥게 여름엔 덥게 겨울엔 춥게 F.L.E.X 질투와 시샘 받으면서 우리 멋있어지자,랩/힙합,2018.07.31,201812
